LOC100506869	NR_126341.1
LOC100101148	NR_104007.1
LINC01364	NR_038324.1
TMEM132A	NM_017870.3
OR5F1	NM_003697.1
PEG10	NM_001172437.2
KRT17P5	NR_001443.1
LOC643201	NR_036494.1
VAMP1	NM_014231.4
VAMP3	NM_004781.3
VAMP2	NM_014232.2
VAMP5	NM_006634.2
VAMP4	NM_003762.4
VAMP7	NM_001185183.1.2
VAMP7	NM_001185183.1
MIR4443	NR_039645.1
MIR4442	NR_039644.1
MIR4441	NR_039643.1
MIR4440	NR_039642.1
MIR4447	NR_039649.1
MIR4446	NR_039648.1
MIR4445	NR_039647.1
TGFBI	NM_000358.2
CETN3	NM_001297765.1
PECAM1	NM_000442.4
LOC102724279	NM_001302493.1
VRK1	NM_003384.2
VRK3	NM_016440.3
VRK2	NM_001130480.2
CRYL1	NM_015974.2
TNIP2	NM_024309.3
TNIP3	NM_001244764.1
NR2C1	NM_003297.3
LOC145845	NR_024264.1
CCL24	NM_002991.2
LOC100507156	NR_038323.1
MAU2	NM_015329.3
MIR2467	NR_039948.1
FAM184A	NM_024581.5
FAM184B	NM_015688.1
SLC23A1	NM_152685.3
HSPH1	NM_001286504.1
LIM2	NM_030657.3
SEC1P	NR_004401.2
SLC23A3	NM_001144890.1
PLEKHB1	NM_021200.2
SLC23A2	NM_005116.5
SEC13	NM_001136026.2
GIMAP8	NM_175571.3
GIMAP4	NM_018326.2
GIMAP5	NM_018384.4
GIMAP6	NM_001244072.1
GIMAP7	NM_153236.3
GIMAP1	NM_130759.3
GIMAP2	NM_015660.2
JMJD7-PLA2G4B	NM_005090.3
CEP19	NM_032898.4
MYOM3	NM_152372.3
MYOM2	NM_003970.3
MYOM2	NM_003970.3.2
MYOM1	NM_003803.3
SYCE1	NM_001143764.1
CTD-2151A2.1	NR_110562.1
OR52W1	NM_001005178.1
FBXO2	NM_012168.5
FBXO3	NM_012175.3
FBXO4	NM_012176.2
FBXO5	NM_012177.3
FBXO6	NM_018438.5
FBXO7	NM_012179.3
FBXO8	NM_012180.2
FBXO9	NM_012347.4
LOC100288254	NR_130933.1
FBXO22-AS1	NR_003136.1
LOC401010	NR_002826.2
TRAM2-AS1	NR_103446.1
MTERF1	NM_006980.4
TAL1	NM_001287347.2
MYEF2	NM_016132.4
TAL2	NM_005421.2
CYP4F29P	NR_026755.1
LOC102723883	NR_125869.1
RITA1	NM_001286215.1
LOC102723885	NR_120517.1
LOC100132781	NR_038890.1
CCDC85C	NM_001144995.1
CCDC85B	NM_006848.2
CCDC85A	NM_001080433.1
TGFB2-AS1	NR_046268.1
SNTB2	NM_006750.3
LOC729966	NR_036575.1
SNTB1	NM_021021.3
KIAA0408	NM_014702.4
DNAJC1	NM_022365.3
CORO1B	NM_001018070.2
CORO1C	NM_001105237.2
CORO1A	NM_001193333.2
MID2	NM_012216.3
MID1	NM_000381.3
WASF1	NM_001024934.1
WASF2	NM_006990.4
WASF3	NM_006646.5
YWHAZ	NM_001135699.1
MYCT1	NM_025107.2
TXLNGY	NR_045128.1
MIDN	NM_177401.4
LINC01365	NR_110660.1
C7orf43	NM_018275.4
HECTD2	NM_001284274.1
HECTD3	NM_024602.5
PIBF1	NM_006346.2
HECTD4	NM_001109662.3
LZTFL1	NM_020347.3
MIR5701-3	NR_128721.1.4
MIR5701-3	NR_128721.1.5
MIR5701-3	NR_128721.1
MIR5701-3	NR_128721.1.2
MIR5701-3	NR_128721.1.3
MIR5701-2	NR_049895.1
MIR5701-2	NR_049895.1.3
MIR5701-2	NR_049895.1.2
MIR5701-2	NR_049895.1.5
MIR5701-2	NR_049895.1.4
MIR5701-1	NR_049886.1
MIR5701-1	NR_049886.1.4
MIR5701-1	NR_049886.1.5
MIR5701-1	NR_049886.1.2
MIR5701-1	NR_049886.1.3
ADAD1	NM_139243.3
ADAD2	NM_139174.3
TSPAN9	NM_001168320.1
PRAMEF33P	NM_001291381.1
PRAMEF33P	NM_001291381.1.2
FLII	NM_002018.3
RALGAPA1	NM_001283044.1
RALGAPA2	NM_020343.3
FLI1	NM_002017.4
GPR22	NM_005295.2
GPR20	NM_005293.2
GPR20	NM_005293.2.2
GPR21	NM_005294.2
GPR26	NM_153442.3
GPR27	NM_018971.1
GPR25	NM_005298.3
KCNMB1	NM_004137.3
KCNMB3	NM_014407.3
KCNMB2	NM_001278911.1
PNCK	NM_001039582.3
KCNMB4	NM_014505.5
FCRL5	NM_001195388.1
LOC100507487	NR_125882.1
LINC01002	NR_028324.1
SNORA68	NR_000012.1
LINC01000	NR_024368.1
LINC01001	NR_028326.1
LINC01006	NR_103858.1
LINC01007	NR_103747.1
LINC01004	NR_039981.2
SNORA69	NR_002584.1
POC5	NM_001099271.1
ZNF449	NM_152695.5
SPECC1L	NM_001145468.3
MIR16-1	NR_029486.1
EPSTI1	NM_001002264.2
LOC101927189	NR_125842.1
LOC101927188	NR_126040.1
NPRL3	NM_001077350.2
NPRL2	NM_006545.4
PLXNB2	NM_012401.3
PLXNB3	NM_001163257.1
SHCBP1L	NM_030933.2
MIR16-2	NR_029525.1
UQCRHL	NM_001089591.1
SIRT3	NM_012239.5
SIRT2	NM_012237.3
SIRT1	NM_012238.4
SIRT7	NM_016538.2
SIRT6	NM_016539.2
SIRT5	NM_012241.4
SIRT4	NM_012240.2
LOC101927237	NR_110747.1
LOC101927230	NR_110806.1
LOC101927239	NR_110748.1
C10orf142	NM_001258000.1
FSD1	NM_024333.2
FSD2	NM_001007122.3
TRHDE-AS1	NR_026837.1
LOC101928402	NR_130770.1
LOC101928401	NR_108099.1
LOC101928404	NR_110699.1
PBOV1	NM_021635.2
OR4S1	NM_001004725.1
OR4S2	NM_001004059.2
CES5A	NM_001190158.1.2
CES5A	NM_001190158.1
KDM6B	NM_001080424.1
DSCAM-AS1	NR_038896.1
SLC20A2	NM_001257180.1
MID1IP1-AS1	NR_046706.1
MIR4449	NR_039651.1
CC2D2A	NM_001080522.2
CC2D2B	NM_001159747.1
SLC20A1	NM_005415.4
PRTG	NM_173814.5
PAPPA2	NM_020318.2
NUGGC	NM_001010906.1
MESTIT1	NR_004382.1
ARHGAP11A	NM_014783.4.2
ARHGAP11A	NM_014783.4
ARHGAP11B	NM_001039841.1.2
ARHGAP11B	NM_001039841.1.3
ARHGAP11B	NM_001039841.1
ARHGAP11B	NM_001039841.1.4
VAMP8	NM_003761.4
CRCT1	NM_019060.2
PSENEN	NM_001281532.1
LOC101929754	NR_121661.1
LOC101929753	NR_110576.1
NAGS	NM_153006.2
NAGA	NM_000262.2
NAGK	NM_017567.4
TEX36-AS1	NR_023362.1
FOLH1B	NM_153696.2
CARTPT	NM_004291.3
LOC440910	NR_030728.1
THBS4	NM_003248.5
PGAP1	NM_024989.3
PGAP3	NM_033419.4
PGAP2	NM_001256236.1
WLS	NM_001002292.3
MFAP5	NM_003480.3
MFAP4	NM_001198695.1
MFAP3	NM_001242336.1
MFAP2	NM_002403.3
MFAP1	NM_005926.2
OFD1	NM_003611.2
HBS1L	NM_006620.3
GYPA	NM_002099.7
GYPB	NM_002100.5
GYPC	NM_002101.4
LOC100129434	NR_125368.1
GYPE	NM_002102.3
SNAP25	NM_003081.3
SNAP23	NM_003825.3
LITAF	NM_001136472.1
SNAP29	NM_004782.3
LOC101926913	NR_110185.1
C11orf49	NM_001003677.2
LOC101926911	NR_110104.1
TOX2	NM_001098797.1
LOC101926915	NR_125838.1
C11orf40	NM_144663.1
C11orf42	NM_173525.2
C11orf44	NM_001271983.1
C11orf45	NM_001256088.1
MIR4477A	NR_039688.1.3
MIR4477A	NR_039688.1.2
MIR4477A	NR_039688.1
TNFSF13	NM_003808.3
TNFSF12	NM_003809.2
TNFSF11	NM_003701.3
TNFSF10	NM_003810.3
DIRAS1	NM_145173.3
LOC105747689	NR_131917.1
TNFSF15	NM_005118.3
DIRAS2	NM_017594.4
TNFSF18	NM_005092.3
SFXN4	NM_213649.1
SFXN5	NM_144579.2
SFXN2	NM_178858.4
SFXN3	NM_030971.3
SFXN1	NM_022754.5
TAS2R1	NM_019599.2
CCT8	NM_006585.3
CCT2	NM_006431.2
CCT3	NM_005998.4
CCT7	NM_006429.3
CCT4	NM_006430.3
CCT5	NM_012073.4
KLRAP1	NR_028045.1
SWI5	NM_001040011.1
RPL23AP82	NR_026981.1
RPL23AP87	NR_029406.1
CROT	NM_001143935.1
ASPG	NM_001080464.2
ASPA	NM_000049.2
LOC100130331	NR_027247.2
ASPM	NM_018136.4
ASPN	NM_017680.4
ASPH	NM_004318.3
CKMT2-AS1	NR_034121.1
FAM86B2	NM_001137610.1
FAM86B1	NM_001083537.1
UBE2V1	NM_001257393.1
UBE2V2	NM_003350.2
CMBL	NM_138809.3
ZNF880	NM_001145434.1
ZNF883	NM_001101338.1
C1GALT1C1	NM_001011551.2
SSTR1	NM_001049.2
SSTR3	NM_001051.4
SSTR2	NM_001050.2
SSTR5	NM_001053.3
SSTR4	NM_001052.2
LDLRAP1	NM_015627.2
CTNNB1	NM_001098209.1
GPX1	NM_000581.2
WNK2	NM_001282394.1
LRRC7	NM_020794.2
ATN1	NM_001007026.1
DRAIC	NR_026979.1
MIR548AZ	NR_106755.1
NR2C2	NM_003298.4
LCE4A	NM_178356.3
TOB2	NM_016272.3
TNIP1	NM_001252390.1
C15orf59-AS1	NR_120352.1
MIR31	NR_029505.1
MIR32	NR_029506.1
MIR548AS	NR_049840.1
MAN1B1	NM_016219.4
SULF1	NM_001128204.1
LBP	NM_004139.4
LBR	NM_002296.3
ATP5J2-PTCD1	NM_001198879.1
OR5M3	NM_001004742.2
LBH	NM_030915.3
PLD4	NM_001308174.1
IMP4	NM_033416.1
PLD5	NM_152666.2
POU5F1P3	NR_036440.1
ATP1B4	NM_001142447.2
ACIN1	NM_014977.3
ATP1B2	NM_001678.4
ATP1B3	NM_001679.2
POU5F1P4	NR_034180.1
POU5F1P5	NR_131184.1
TFB1M	NM_016020.3
SERF2-C15ORF63	NR_037673.1
MORN3	NM_173855.4
AASDH	NM_181806.3
TSEN15	NM_001300764.1
PLD3	NM_001031696.3
SNX3	NM_003795.5
SNX2	NM_003100.3
SNX1	NM_001242933.1
SNX7	NM_015976.4
SNX6	NM_152233.2
SNX5	NM_014426.3
SNX4	NM_003794.3
SNX9	NM_016224.4
SNX8	NM_013321.3
MIR3619	NR_037413.1
MIR3618	NR_037412.1
MIR3613	NR_037407.1
MIR3612	NR_037406.1
MIR3611	NR_037405.1
MIR3610	NR_037404.1
MIR3617	NR_037411.1
MIR3616	NR_037410.1
MIR3615	NR_037409.1
MIR3614	NR_037408.1
EWSAT1	NR_026949.1
MIR3160-1	NR_036117.1
MIR3160-2	NR_036118.1
KHSRP	NM_003685.2
TIMELESS	NM_003920.3
NUTM2B-AS1	NR_120611.1
PHKG2	NM_000294.2
PHKG1	NM_001258459.1
ORAI2	NM_001126340.2
ORAI3	NM_152288.2
SNORA70B	NR_003707.2
SNORA70C	NR_003708.4
SNORA70D	NR_033337.1
SNORA70E	NR_033347.1
SNORA70F	NR_033309.1
SNORA70G	NR_033335.1
FRA10AC1	NM_145246.4
DLAT	NM_001931.4
C12orf29	NM_001009894.2
PCCA-AS1	NR_047686.1
FABP6	NM_001040442.1
FABP7	NM_001446.3
PGAM4	NM_001029891.2
FABP5	NM_001444.2
FABP2	NM_000134.3
FABP3	NM_004102.3
FANCD2	NM_033084.3
FABP1	NM_001443.2
AKR1C4	NM_001818.3
GABRA4	NM_000809.3
GABRA6	NM_000811.2
GABRA1	NM_000806.5
AKR1C1	NM_001353.5
GABRA3	NM_000808.3
FABP9	NM_001080526.1
FKSG29	NR_024013.1
SEC61B	NM_006808.2
DOCK2	NM_004946.2
DOCK3	NM_004947.4
LOC100996255	NR_102756.1
LOC100996255	NR_102756.1.2
SEPW1	NM_003009.2
LOC100996251	NR_103777.1
DOCK6	NM_020812.3
LOC100128568	NR_046376.1
DOCK4	NM_014705.3
EP300	NM_001429.3
NPY5R	NM_001317091.1
NEU4	NM_001167599.2
NEU4	NM_001167599.2.2
MIR2053	NR_031745.1
NEU1	NM_000434.3
NEU1	NM_000434.3.8
NEU1	NM_000434.3.3
NEU1	NM_000434.3.2
NEU1	NM_000434.3.5
NEU1	NM_000434.3.4
NEU1	NM_000434.3.7
NEU1	NM_000434.3.6
MIR2054	NR_031746.1
NEU3	NM_006656.5
MIR6739	NR_106797.1
MIR6738	NR_106796.1
MIR6733	NR_106791.1
MIR6732	NR_106790.1
MIR6731	NR_106789.1
MIR6730	NR_106788.2
MIR6737	NR_106795.1
MIR6736	NR_106794.1
MIR6735	NR_106793.1
MIR6734	NR_106792.1
ERICH1-AS1	NR_073397.1
ERICH1-AS1	NR_073397.1.2
ERICH1-AS1	NR_073397.1.3
DLG1-AS1	NR_038289.1
OPRL1	NM_000913.4
OPRL1	NM_000913.4.2
HSP90AB4P	NR_073415.2
MED10	NM_032286.2
MED11	NM_001001683.3
MED12	NM_005120.2
MED13	NM_005121.2
MED14	NM_004229.3
MED15	NM_001003891.2
MED16	NM_005481.2.2
MED16	NM_005481.2
MED17	NM_004268.4
MED18	NM_001127350.1
MED19	NM_001317078.1
LOC100505609	NR_132416.1
EEF1B2	NM_001037663.1
LOC283922	NR_026950.1
TLX1	NM_005521.3
TLX2	NM_016170.4
TLX3	NM_021025.3
ADH1C	NM_000669.4
ADH1B	NM_000668.5
ADH1A	NM_000667.3
MUSK	NM_005592.3
KIAA1257	NM_020741.2
MLEC	NM_014730.3
MIR8485	NR_130470.1
MIR802	NR_030414.1
SLC30A8	NM_173851.2
SLC30A5	NM_022902.4
SLC30A4	NM_013309.4
SLC30A7	NM_001144884.1
SLC30A6	NM_001193513.1
SLC30A1	NM_021194.2
SLC30A3	NM_003459.4
SLC30A2	NM_001004434.2
ASPDH	NM_001114598.1
MT1HL1	NM_001276687.1
EML2	NM_001193268.1
EML3	NM_001300793.1
EML1	NM_001008707.1
EML6	NM_001039753.2
EML4	NM_019063.4
EML5	NM_183387.2
PLEKHB2	NM_001267062.1
HLA-DPB1	NM_002121.5.5
HLA-DPB1	NM_002121.5.4
HLA-DPB1	NM_002121.5.7
HLA-DPB1	NM_002121.5.6
HLA-DPB1	NM_002121.5.3
HLA-DPB1	NM_002121.5.2
HLA-DPB1	NM_002121.5.8
HLA-DPB1	NM_002121.5
HLA-DPB2	NR_001435.1.8
HLA-DPB2	NR_001435.1
HLA-DPB2	NR_001435.1.2
HLA-DPB2	NR_001435.1.3
HLA-DPB2	NR_001435.1.6
HLA-DPB2	NR_001435.1.7
HLA-DPB2	NR_001435.1.4
HLA-DPB2	NR_001435.1.5
KAAG1	NM_181337.3
RSPO3	NM_032784.4
RSPO2	NM_178565.4
RSPO1	NM_001038633.3
CNN1	NM_001299.5
CNN3	NM_001839.4
CNN2	NM_001303501.1
CHAC2	NM_001008708.2
CHAC1	NM_024111.3
FCMR	NM_005449.4
FAM98A	NM_015475.4
EIF5B	NM_015904.3
EIF5A	NM_001143760.1
CCSER1	NM_001145065.1
TUBB8	NM_177987.2
TUBB6	NM_001303524.1
TUBB3	NM_006086.3
TUBB1	NM_030773.3
APTR	NR_038361.1
C19orf71	NM_001135580.1
C19orf70	NM_001308240.1
C19orf73	NM_018111.2
APTX	NM_001195248.1
SH3BGRL3	NM_031286.3
SH3BGRL2	NM_031469.2
ODF3B	NM_001014440.3
OLFM3	NM_001288821.1
OLFM2	NM_001304347.1
OLFM1	NM_001282611.1
OLFM4	NM_006418.4
RAF1	NM_002880.3
DRAM1	NM_018370.2
DRAM2	NM_178454.4
RPL13A	NM_012423.3
LOC101927884	NR_110281.1
BCL7C	NM_001286526.1
BCL7B	NM_001301061.1
BCL7A	NM_020993.4
LOC101927881	NR_110278.1
EFNA5	NM_001962.2
EFNA4	NM_182689.1
EFNA3	NM_004952.4
EFNA2	NM_001405.3
EFNA1	NM_004428.2
DDX25	NM_013264.4
MBNL1-AS1	NR_027038.1
IYD	NM_001164694.1
A2M-AS1	NR_026971.1
C1orf189	NM_001010979.2
UCN2	NM_033199.3
UCN3	NM_053049.2
C1orf185	NM_001136508.1
C1orf186	NM_001007544.3
APEX1	NM_001244249.1
APEX2	NM_014481.3
NRIR	NR_126359.1
SPOCD1	NM_144569.5
KMT2C	NM_170606.2
KMT2B	NM_014727.2
ESRRG	NM_001243518.1
ESRRA	NM_001282450.1
KMT2E	NM_018682.3
ESRRB	NM_004452.3
CLEC11A	NM_002975.2
ZNF750	NM_024702.2
CRYM-AS1	NR_026675.1
ZNF718	NM_001039127.5
ZNF714	NM_182515.3
ZNF716	NM_001159279.1
ZNF717	NM_001128223.1
ZNF710	NM_198526.3
ZNF711	NM_021998.4
ZNF713	NM_182633.2
NFAM1	NM_145912.5
FLJ45513	NM_001242791.1
ASB10	NM_001142459.1
PCDHB17P	NR_001280.1
ASB12	NM_130388.3
ASB13	NM_024701.3
ASB14	NM_001142733.2
ASB15	NM_001290258.1
ASB16	NM_080863.4
ASB17	NM_080868.2
ASB18	NM_212556.2
RPP38	NM_001097590.2
TROVE2	NM_001173524.1
TCHHL1	NM_001008536.1
ALDH1L1-AS1	NR_046602.1
XCL2	NM_003175.3
XCL1	NM_002995.2
ALDH1L1-AS2	NR_046383.1
NNT	NM_012343.3
RPP30	NM_001104546.1
LRRC4C	NM_001258419.1
LRRC4B	NM_001080457.1
CT62	NM_001102658.1
FDPS	NM_001135821.1
TFPI2	NM_006528.3
BATF	NM_006399.3
MACF1	NM_012090.5
CCDC144CP	NR_023380.1
RNF103-CHMP3	NM_001198954.1
WTH3DI	NM_001077637.1
HEXIM1	NM_006460.2
DENND5B	NM_001308339.1
DENND5A	NM_015213.3
HEXIM2	NM_001303436.1
LOC284632	NR_027087.2
NPTN-IT1	NR_103844.1
AQP7P3	NR_026558.1
AQP7P3	NR_026558.1.2
AQP7P3	NR_026558.1.3
AQP7P1	NR_002817.2
PPIAP30	NR_036506.1
LOC101929541	NR_125982.1
CRLS1	NM_019095.4
LOC101929549	NR_110112.1
GCSH	NM_004483.4
ARMC8	NM_015396.5
ARMC9	NM_001271466.2
ARMC4	NM_001290020.1
OR6Q1	NM_001005186.2
GUF1	NM_021927.2
PML	NM_033238.2
MRM1	NM_024864.4
MRM1	NM_024864.4.2
MLST8	NM_001199173.1
STAU1	NM_017453.2
STAU2	NM_001164380.1
DICER1	NM_001271282.2
TIGD3	NM_145719.2
HP1BP3	NM_016287.3
CHGA	NM_001275.3
CHGA	NM_001275.3.2
CHGB	NM_001819.2
MSN	NM_002444.2
FOPNL	NM_001304499.1
FOPNL	NM_001304499.1.2
MSC	NM_005098.3
MYO16-AS1	NR_047700.1
AQR	NM_014691.2
MPPE1	NM_023075.5
ACTL6A	NM_004301.4
COL8A2	NM_005202.3
COL8A1	NM_001850.4
HNRNPA1L2	NM_001011724.1
CFLAR-AS1	NR_040030.1
SIGLEC8	NM_014442.2
SIGLEC9	NM_001198558.1
SIGLEC5	NM_003830.3
SIGLEC6	NM_001245.5
SIGLEC7	NM_014385.3
FOLR1	NM_000802.3
FOLR2	NM_000803.4
FOLR3	NM_000804.2
NCBP1	NM_002486.4
NCBP2	NM_007362.3
NCBP3	NM_001114118.2
ANKRD34C-AS1	NR_038997.1
PROCA1	NM_001304952.1
CCZ1B	NM_198097.3
DBR1	NM_016216.3
LOC100130872	NR_024569.1
DRAP1	NM_006442.3
MEI1	NM_152513.3
MEI4	NM_001282136.1
CBLC	NM_012116.3
CBLB	NM_170662.3
ZNF45	NM_003425.3
ZNF44	NM_001164276.1
ZNF43	NM_001256648.1.2
ZNF43	NM_001256653.1
ZNF41	NM_007130.2
TYW1B	NM_001145440.2
ZNF48	NM_001214906.1
LOC103611081	NR_125382.1
PNISR	NM_015491.1
CYP2U1	NM_183075.2
LILRB5	NM_001304457.1.4
LILRB5	NM_001304457.1.5
LILRB5	NM_001304457.1.2
LILRB5	NM_001304457.1.3
LILRB5	NM_001304457.1
LILRB4	NM_001278429.3.4
LILRB4	NM_001278429.3.5
LILRB4	NM_001278429.3.2
LILRB4	NM_001278429.3.3
LILRB4	NM_001278429.3
LILRB3	NM_001081450.2.10
LILRB3	NM_001081450.2
LILRB3	NM_001081450.2.2
LILRB3	NM_001081450.2.3
LILRB3	NM_001081450.2.7
LILRB3	NM_001081450.2.4
LILRB3	NM_001081450.2.9
LILRB3	NM_001081450.2.8
LILRB3	NM_001081450.2.5
LILRB3	NM_001081450.2.6
LILRB2	NM_001278404.2.2
LILRB2	NM_005874.4.4
LILRB2	NM_005874.4.2
LILRB2	NM_005874.4
LILRB2	NM_005874.4.5
LILRB1	NM_001081637.2
LILRB1	NM_001081637.2.2
LILRB1	NM_001081637.2.5
LILRB1	NM_001081637.2.4
LILRB1	NM_001081637.2.3
KSR1	NM_014238.1
KSR2	NM_173598.4
LINC00202-1	NR_026795.1
LINC00202-2	NR_026794.1
PYM1	NM_032345.2
MIR6867	NR_106927.1
MIR6866	NR_106926.1
MIR6865	NR_106925.1
MIR6864	NR_106924.1
MIR6863	NR_106923.1
MIR6861	NR_106921.1
MIR6860	NR_106920.1
MIR6869	NR_106929.1
MIR6868	NR_106928.1
SSMEM1	NM_145268.3
LIN37	NM_019104.2
FKTN	NM_001079802.1
DNALI1	NM_003462.3
AP3D1	NM_001261826.1
LOC340357	NR_015383.1
SULT1A4	NM_001017390.2
SULT1A4	NM_001017390.2.2
SULT1A1	NM_001055.3
SULT1A3	NM_177552.3.2
SULT1A3	NM_177552.3
SULT1A2	NM_001054.3
ZSCAN12P1	NR_024063.2
NOL8	NM_017948.5
CHTF18	NM_022092.2
NOL4	NM_003787.4
NOL7	NM_016167.3
NOL6	NM_022917.4
OLIG2	NM_005806.3
OLIG3	NM_175747.2
NOL3	NM_001276319.1
OLIG1	NM_138983.2
FAM156B	NM_001099684.1.2
FAM156B	NM_001099684.1
FAM156A	NM_001242491.1.2
FAM156A	NM_001242489.1
DKFZp686K1684	NR_033971.1
CLPTM1	NM_001294.3
CDC45	NM_001178010.2
CDC40	NM_015891.2
CDC42	NM_001039802.1
LINC00690	NR_103843.1
SRD5A3-AS1	NR_037969.1
DPYD	NM_000110.3
DPYS	NM_001385.2
YLPM1	NM_019589.2
LOC106699570	NR_133569.1
GFAP	NM_001242376.1
STEAP1B	NM_001164460.1
LINC00696	NR_027331.1
TNFAIP8L2-SCNM1	NM_001204848.1
LOC100506258	NR_103855.1
CT47A7	NM_001080140.1
TCL1B	NM_004918.3
CT47A5	NM_001080142.1
CT47A5	NM_001080142.1.10
CT47A5	NM_001080142.1.8
CT47A5	NM_001080142.1.9
CT47A5	NM_001080142.1.6
CT47A5	NM_001080142.1.7
CT47A5	NM_001080142.1.4
CT47A5	NM_001080142.1.5
CT47A5	NM_001080142.1.2
CT47A5	NM_001080142.1.3
CT47A4	NM_001080143.1
CT47A4	NM_001080143.1.10
CT47A4	NM_001080143.1.9
CT47A4	NM_001080143.1.8
CT47A4	NM_001080143.1.3
CT47A4	NM_001080143.1.2
CT47A4	NM_001080143.1.7
CT47A4	NM_001080143.1.6
CT47A4	NM_001080143.1.5
CT47A4	NM_001080143.1.4
CT47A3	NM_001080144.1.2
CT47A3	NM_001080144.1.3
CT47A3	NM_001080144.1.4
CT47A3	NM_001080144.1.5
CT47A3	NM_001080144.1.6
CT47A3	NM_001080144.1.7
CT47A3	NM_001080144.1.8
CT47A3	NM_001080144.1.9
CT47A3	NM_001080144.1.10
CT47A3	NM_001080144.1
CT47A2	NM_001080145.1.9
CT47A2	NM_001080145.1.8
CT47A2	NM_001080145.1.5
CT47A2	NM_001080145.1.4
CT47A2	NM_001080145.1.7
CT47A2	NM_001080145.1.6
CT47A2	NM_001080145.1.3
CT47A2	NM_001080145.1.2
CT47A2	NM_001080145.1.10
CT47A2	NM_001080145.1
CT47A1	NM_001080146.1
CT47A1	NM_001080146.1.10
CT47A1	NM_001080146.1.2
CT47A1	NM_001080146.1.3
CT47A1	NM_001080146.1.6
CT47A1	NM_001080146.1.7
CT47A1	NM_001080146.1.4
CT47A1	NM_001080146.1.5
CT47A1	NM_001080146.1.8
CT47A1	NM_001080146.1.9
GUCA1A	NM_000409.3
CT47A9	NM_001080138.1.10
CT47A9	NM_001080138.1
CT47A9	NM_001080138.1.8
CT47A9	NM_001080138.1.9
CT47A9	NM_001080138.1.2
CT47A9	NM_001080138.1.3
CT47A9	NM_001080138.1.6
CT47A9	NM_001080138.1.7
CT47A9	NM_001080138.1.4
CT47A9	NM_001080138.1.5
CT47A8	NM_001080139.1.7
CT47A8	NM_001080139.1.6
CT47A8	NM_001080139.1.5
CT47A8	NM_001080139.1.4
CT47A8	NM_001080139.1.3
CT47A8	NM_001080139.1.2
CT47A8	NM_001080139.1.9
CT47A8	NM_001080139.1.8
CT47A8	NM_001080139.1.10
CT47A8	NM_001080139.1
DMRTC1B	NM_001080851.1
DMRTC1B	NM_001080851.1.2
MED14OS	NM_001289773.1
BRK1	NM_018462.4
PRL	NM_000948.5
PRY	NM_004676.2
PRY	NM_004676.2.2
PRX	NM_181882.2
TYRP1	NM_000550.2
C17orf105	NM_001136483.1
LOC102724612	NR_125825.1
ESX1	NM_153448.3
RBM48	NM_032120.2
LOC643623	NR_038906.1
HSD3B7	NM_025193.3
HSD3B1	NM_000862.2
HSD3B2	NM_000198.3
CD300C	NM_006678.4
CD300A	NM_007261.3
ERVMER34-1	NM_001242690.1
CD300E	NM_181449.2
CLEC2B	NM_005127.2
RCCD1	NM_001017919.1
MIR611	NR_030342.1
LBHD1	NM_024099.3
TBR1	NM_006593.2
DDC-AS1	NR_033845.1
PLCH2	NM_014638.3.2
PLCH2	NM_014638.3
PLCH1	NM_001130960.1
VEZF1	NM_007146.2
JHDM1D-AS1	NR_024451.1
MIR618	NR_030349.1
NUDT8	NM_001243750.1
NUDT9	NM_024047.4
DLD	NM_000108.4
NUDT1	NM_198949.1
NUDT2	NM_001161.4
NUDT3	NM_006703.3
NUDT4	NM_199040.3
NUDT5	NM_014142.2
NUDT6	NM_007083.4
NUDT7	NM_001105663.2
COL16A1	NM_001856.3
LARS	NM_020117.9
OPN1MW2	NM_001048181.2.3
OPN1MW2	NM_001048181.2.2
OPN1MW2	NM_001048181.2
MEF2C	NM_001193347.1
MEF2B	NM_001145785.1
MEF2A	NM_005587.2
FETUB	NM_014375.2
MEF2D	NM_005920.3
LCORL	NM_001166139.1
EPHX1	NM_000120.3
EPHX2	NM_001979.5
EPHX3	NM_001142886.1
EPHX4	NM_173567.4
RPLP2	NM_001004.3
RPLP1	NM_001003.2
RPLP0	NM_001002.3
CD300LG	NM_145273.3
CD300LF	NM_001289084.1
CSMD1	NM_033225.5
CD300LB	NM_174892.3
CFAP20	NM_013242.2
EMC3-AS1	NR_103821.1
MIR181A2	NR_029611.1
MIR181A1	NR_029626.1
TRIL	NM_014817.3
TRIO	NM_007118.2
RABL2A	NM_001306160.1
RABL2B	NM_001130923.1
SHTN1	NM_001127211.2
ZNRD1-AS1	NR_026751.1
ZNRD1-AS1	NR_026751.1.5
ZNRD1-AS1	NR_026751.1.6
ZNRD1-AS1	NR_026751.1.7
ZNRD1-AS1	NR_026751.1.2
ZNRD1-AS1	NR_026751.1.3
ZNRD1-AS1	NR_026751.1.8
ZNRD1-AS1	NR_026751.1.4
LOC101929034	NR_104602.1
TCP1	NM_030752.2
KTN1	NM_001079521.1
IQSEC1	NM_001134382.2
FAM90A1	NM_018088.3
GPRASP2	NM_001004051.3
TMEM266	NM_152335.2
APOA2	NM_001643.1
NINJ1	NM_004148.3
NINJ2	NM_016533.5
NPSR1	NM_001300935.1
SLC16A9	NM_194298.2
SLC16A8	NM_013356.2
SLC16A1	NM_001166496.1
SLC16A3	NM_001042422.2
SLC16A2	NM_006517.4
SMG7-AS1	NR_040063.1
