OR5J7P	ENST00000534621
KDM2B	ENST00000606143
DDX23	ENST00000308025
MCF2L2	ENST00000328913
C3orf80	ENST00000326474
IGHV1-24	ENST00000390610
IGHV1-24	ENST00000603306
PXDN	ENST00000252804
PCLO	ENST00000333891
RP11-96H19.1	ENST00000551503
AP001627.1	ENST00000437426
POTEJ	ENST00000409602
RP11-61D3.1	ENST00000420146
NDUFA9	ENST00000266544
NPSR1	ENST00000381539
AP000356.2	ENST00000438893
AC002523.1	ENST00000600662
AC002523.1	ENST00000498002
GRWD1	ENST00000253237
DEGS1	ENST00000323699
TEAD4	ENST00000359864
SUMO1P3	ENST00000439961
AC104131.1	ENST00000392363
AC096775.2	ENST00000437724
SPATA17	ENST00000366933
RNU6-1311P	ENST00000384728
RP11-45M22.4	ENST00000427497
NPAS4	ENST00000311034
NANOGNB	ENST00000382119
RP11-84H6.1	ENST00000472309
RPS17P17	ENST00000419392
C12orf42	ENST00000378113
AC026150.8	ENST00000562992
RP3-521E19.2	ENST00000547401
TMEM151B	ENST00000451188
PABPC1P10	ENST00000464731
AC069277.2	ENST00000433639
AC003986.7	ENST00000417460
LINC01023	ENST00000606054
MATN1	ENST00000373765
CTD-2651B20.7	ENST00000568314
BRPF1	ENST00000383829
CTD-2372A4.1	ENST00000508746
FTLP18	ENST00000453860
AC004076.7	ENST00000597410
TRAJ40	ENST00000390497
RP11-61L14.6	ENST00000421866
RP11-685B13.2	ENST00000535066
CCL22	ENST00000219235
RASD1	ENST00000225688
INHA	ENST00000243786
GOLGB1	ENST00000393667
DPY19L1	ENST00000310974
CTC-340D7.1	ENST00000503268
ZNF565	ENST00000355114
DTX1	ENST00000257600
RNU6-1009P	ENST00000390996
KTN1	ENST00000395309
ELMO1-AS1	ENST00000419535
RP11-258F1.1	ENST00000583062
C6orf106	ENST00000374023
OTOS	ENST00000319460
UGT1A10	ENST00000344644
NKX3-1	ENST00000380871
LL0XNC01-116E7.2	ENST00000447281
MIR1303	ENST00000408625
PIEZO1	ENST00000301015
OR10V2P	ENST00000525296
RP11-408A13.4	ENST00000610061
LA16c-429E7.1	ENST00000570247
PTPRG	ENST00000474889
TWF1	ENST00000325127
RP11-442H21.2	ENST00000491934
RNA5SP443	ENST00000363083
TFAP2D	ENST00000008391
PDCD10	ENST00000392750
BCAP29	ENST00000379119
RPS20P31	ENST00000479327
ABCA10	ENST00000269081
RP11-51L5.5	ENST00000602493
GYG2-AS1	ENST00000445107
OR7E47P	ENST00000546390
RP11-62J1.4	ENST00000608625
LINC00674	ENST00000435469
LINC00674	ENST00000573794
BTF3P9	ENST00000418784
BACE2	ENST00000330333
CACNG8	ENST00000270458
CICP8	ENST00000455800
RP11-439E19.6	ENST00000413092
OLA1P2	ENST00000395519
RP11-379B18.6	ENST00000610060
GAPDHP58	ENST00000438477
RP5-1173P7.1	ENST00000567392
NCF4	ENST00000397147
LINC01011	ENST00000445000
RP11-492M23.2	ENST00000395291
PLBD2	ENST00000280800
ZPBP2	ENST00000348931
BTF3P14	ENST00000571142
LINC00571	ENST00000454060
RP11-490G2.2	ENST00000561881
RP5-888M10.2	ENST00000416696
MALRD1	ENST00000377266
C1orf220	ENST00000319387
RP11-182E14.1	ENST00000511357
SOST	ENST00000301691
LINC01069	ENST00000452933
RP11-409K15.1	ENST00000605247
RP11-287F9.1	ENST00000510748
AC007228.9	ENST00000602145
POMZP3	ENST00000454397
ZNF516	ENST00000443185
EGFLAM	ENST00000354891
DHX36	ENST00000496811
AC133644.3	ENST00000398171
TMSB4Y	ENST00000284856
SUCLG2	ENST00000493112
ZNF599	ENST00000329285
BATF3	ENST00000243440
RNA5SP498	ENST00000411342
CNIH2	ENST00000311445
ATP8A2P1	ENST00000420453
AC006445.7	ENST00000510061
CLTC	ENST00000269122
AC007365.4	ENST00000428806
IFIT1B	ENST00000371809
MIR4453	ENST00000604157
CTD-2626G11.2	ENST00000599413
CTD-2626G11.2	ENST00000593903
AC008753.3	ENST00000423096
RP11-419L9.1	ENST00000564217
RP11-415J8.5	ENST00000432703
RP11-309H21.2	ENST00000434983
AURKB	ENST00000316199
RP11-265O12.1	ENST00000509015
RNU6-888P	ENST00000363010
NPM1P8	ENST00000458237
SEP15	ENST00000331835
GPR6	ENST00000414000
RGS17	ENST00000206262
SIAH2	ENST00000312960
ACAP3	ENST00000354700
THAP2	ENST00000308086
PEX11B	ENST00000581144
PEX11B	ENST00000369306
AIM1	ENST00000369066
AP001601.2	ENST00000426771
RP11-98J9.1	ENST00000531749
RNU6-474P	ENST00000384243
OR7E5P	ENST00000399170
UBALD1	ENST00000590891
NDUFS7	ENST00000414651
IGHD2-2	ENST00000390591
IGHD2-2	ENST00000605709
AC099535.4	ENST00000408928
TYROBP	ENST00000585901
TRPA1	ENST00000262209
RNU6-1275P	ENST00000391087
AC006272.2	ENST00000596964
RP4-533D7.3	ENST00000426289
RP11-1055B8.3	ENST00000596728
RP11-1055B8.3	ENST00000578691
ARAP1	ENST00000393609
RN7SL442P	ENST00000473804
RBMY2FP	ENST00000303922
RP11-169K16.4	ENST00000418525
PUS1	ENST00000376649
AC008984.5	ENST00000575804
AC008984.5	ENST00000571267
AC008984.5	ENST00000574171
AC008984.5	ENST00000514037
AC008984.5	ENST00000605064
PRSS1	ENST00000570031
PRSS1	ENST00000486171
CTB-54O9.9	ENST00000586012
SLC7A9	ENST00000023064
CIR1P3	ENST00000405137
RNA5SP103	ENST00000459503
RTL1	ENST00000534062
CTD-2139B15.2	ENST00000511821
SLC10A3	ENST00000393586
SLC10A3	ENST00000595029
TTC3-AS1	ENST00000424733
B4GALT7	ENST00000029410
RP1-168L15.5	ENST00000568025
RNU6-690P	ENST00000365242
RNA5SP453	ENST00000362503
RP11-20G6.2	ENST00000567395
GNB5	ENST00000261837
RP11-384C12.1	ENST00000486251
TICRR	ENST00000268138
ARF3	ENST00000256682
SNRPGP4	ENST00000588924
AC055876.1	ENST00000431496
RNU6-542P	ENST00000516405
HIGD1AP14	ENST00000507617
SNORD115-1	ENST00000364961
RP11-134K1.2	ENST00000391389
RP4-539M6.20	ENST00000608677
RP11-168C9.1	ENST00000414581
RP11-713C5.1	ENST00000584727
RP11-346D19.1	ENST00000415883
ATP2B2	ENST00000352432
GPRIN3	ENST00000333209
RP11-586L23.1	ENST00000514347
RP11-26C10.1	ENST00000512059
IFFO1	ENST00000356896
CTC-241F20.4	ENST00000600941
AC002075.4	ENST00000425207
CTD-2298J14.1	ENST00000556081
DMRT3	ENST00000190165
AE000658.22	ENST00000535893
DPH7	ENST00000277540
CCL2	ENST00000225831
EXOSC3P2	ENST00000594464
RN7SL753P	ENST00000581238
RP11-423H2.5	ENST00000505248
AC009227.3	ENST00000432599
OR52N2	ENST00000317037
CTD-2014E2.2	ENST00000566641
KANSL2	ENST00000550347
STK33P1	ENST00000423835
RNU6-1151P	ENST00000384684
RP11-196G18.1	ENST00000584267
RP11-196G18.1	ENST00000451620
AC007003.1	ENST00000472463
AC004866.3	ENST00000438285
RN7SL193P	ENST00000491708
RP11-775H9.1	ENST00000511749
RN7SL496P	ENST00000470372
MIR92B	ENST00000607575
CTD-2653B5.1	ENST00000577544
RNU4-4P	ENST00000364588
MIR566	ENST00000385187
RNU6-440P	ENST00000390882
RPL35AP3	ENST00000414680
GPR22	ENST00000304402
LYSMD4	ENST00000344791
RP11-242C24.3	ENST00000605387
RP11-378A13.1	ENST00000562328
PCMTD2	ENST00000308824
MTHFD1L	ENST00000367321
BFAR	ENST00000261658
RP11-730N24.1	ENST00000504339
C19orf35	ENST00000342063
EMC2	ENST00000220853
MIR28	ENST00000384918
GUCY1B2	ENST00000493639
FTLP17	ENST00000432567
AC079354.3	ENST00000409819
MARCO	ENST00000327097
RUNX1	ENST00000300305
RP11-217B1.2	ENST00000569473
MIR325	ENST00000593436
MIR325	ENST00000385260
RP11-513D5.5	ENST00000529325
PIGPP3	ENST00000425307
RP3-477O4.5	ENST00000419294
STK17B	ENST00000263955
RNU7-51P	ENST00000516560
HSPB9	ENST00000565659
HSPB9	ENST00000355067
LL22NC03-13G6.2	ENST00000450365
C5orf47	ENST00000340147
RP11-256P1.1	ENST00000504539
RP11-362M19.1	ENST00000508637
CTC-209H22.3	ENST00000521251
CHRFAM7A	ENST00000299847
RPL31P41	ENST00000477967
APP	ENST00000346798
PRY2	ENST00000303804
RPL23AP69	ENST00000431134
C6orf118	ENST00000230301
RP11-315F22.1	ENST00000567853
SF3B2	ENST00000322535
CDC42EP5	ENST00000573230
CDC42EP5	ENST00000301200
CDC42EP5	ENST00000604813
CDC42EP5	ENST00000577111
RP11-473M20.16	ENST00000570843
RNU7-95P	ENST00000459222
PEX16	ENST00000241041
RP11-308B16.2	ENST00000502209
ELL2P2	ENST00000515135
OR2E1P	ENST00000402553
CDC14B	ENST00000375241
MTND5P23	ENST00000430812
RP11-834C11.4	ENST00000508564
CYP4F3	ENST00000221307
RAC1P8	ENST00000427086
RP11-36C20.1	ENST00000467270
ZFX-AS1	ENST00000427551
RP11-170L3.7	ENST00000563488
HINFP	ENST00000350777
HTR6	ENST00000289753
RP1-196A12.1	ENST00000430231
AC017079.4	ENST00000416102
FAM131A	ENST00000383847
RP11-826N14.2	ENST00000512675
USP3-AS1	ENST00000560962
RP11-575C1.1	ENST00000474107
CCDC180	ENST00000375202
DIO2-AS1	ENST00000553979
MIR4504	ENST00000577413
UBALD2	ENST00000327490
TBC1D28	ENST00000345096
CTB-60B18.6	ENST00000591656
CAPZA3	ENST00000317658
OR11H3P	ENST00000554547
PRR20D	ENST00000452123
RPLP2P1	ENST00000398220
YAP1	ENST00000282441
RP11-129K12.1	ENST00000607089
SYPL1	ENST00000011473
STK4	ENST00000372806
KRT8P17	ENST00000453110
TRIM64	ENST00000533122
C1DP2	ENST00000418167
DIXDC1	ENST00000577090
DIXDC1	ENST00000440460
LRRIQ3	ENST00000354431
ARMCX4	ENST00000600986
ARMCX4	ENST00000423738
TMEM256-PLSCR3	ENST00000324822
RP11-59D5__B.3	ENST00000406535
CTC-248O19.1	ENST00000517634
MTND2P26	ENST00000528255
RP11-343C2.9	ENST00000563634
RP11-319E16.1	ENST00000544717
SVOP	ENST00000299134
RN7SL769P	ENST00000469386
OSBPL11	ENST00000296220
RBM22P5	ENST00000449536
FAM50A	ENST00000596978
FAM50A	ENST00000393600
RN7SKP152	ENST00000410444
STAMBPL1	ENST00000371927
PPP2R2C	ENST00000335585
LZTS1-AS1	ENST00000523103
AC084121.14	ENST00000528788
PADI3	ENST00000375460
USP9YP25	ENST00000457708
EXTL2P1	ENST00000446218
RP4-778K6.3	ENST00000476569
AC104699.1	ENST00000352271
RP3-390M24.1	ENST00000449463
LINC00365	ENST00000413591
RBMXP4	ENST00000507797
ETFA	ENST00000557943
RN7SL592P	ENST00000585082
HNRNPA1P7	ENST00000400448
AC079395.1	ENST00000510981
RNU6-1286P	ENST00000383871
MIR4444-2	ENST00000581696
RP11-692C23.1	ENST00000510731
SNX19P2	ENST00000452841
OTX2-AS1	ENST00000534909
RAPH1	ENST00000374493
RP11-304L19.8	ENST00000561544
RP11-630I5.1	ENST00000463059
USP9YP14	ENST00000430663
RP4-560B9.4	ENST00000468716
DSCR4-IT1	ENST00000417138
USP9YP23	ENST00000455085
IGLVIV-59	ENST00000520218
AF131215.2	ENST00000530248
RP11-651K21.1	ENST00000604842
FAM83A-AS1	ENST00000520576
WASH6P	ENST00000461007
USP9YP26	ENST00000421008
RP11-290L1.2	ENST00000547721
SPACA6P-AS	ENST00000602324
FBXO34	ENST00000313833
RNU5D-2P	ENST00000516712
TMEM132C	ENST00000435159
OLIG2	ENST00000333337
MIR548Q	ENST00000408404
IGSF6	ENST00000268389
TM4SF4	ENST00000305354
RNA5SP300	ENST00000391197
RN7SL285P	ENST00000496478
RP1-261G23.7	ENST00000607600
RN7SL820P	ENST00000583941
PPP1R14B	ENST00000309318
ARPP21	ENST00000417925
RPL18AP16	ENST00000537422
RPL18AP16	ENST00000598082
CTD-2308B18.1	ENST00000513422
NCKAP1	ENST00000360982
RPA1	ENST00000254719
RP11-124N2.1	ENST00000507924
PSMB3	ENST00000225426
HIBCH	ENST00000359678
ANGPT2	ENST00000325203
CTB-50L17.7	ENST00000588798
C17orf96	ENST00000325814
RNU6-599P	ENST00000459383
PLCXD1	ENST00000381657
TCEB1	ENST00000284811
IGF1R	ENST00000268035
RHPN1	ENST00000289013
RP11-520H14.1	ENST00000413855
LINC00407	ENST00000426509
RP11-114O8.1	ENST00000522330
CTD-2370N5.3	ENST00000578584
WDFY3-AS2	ENST00000451762
CCNT2-AS1	ENST00000537615
RP11-203L2.3	ENST00000424795
RP11-66B24.2	ENST00000593314
RP11-397H6.1	ENST00000549896
RNU6-906P	ENST00000384700
LCP2	ENST00000046794
RP11-499F3.2	ENST00000560054
RP11-867G23.3	ENST00000501708
FCAMR	ENST00000324852
RNU6-1011P	ENST00000384668
RPL17P45	ENST00000586289
RP11-313M3.1	ENST00000486306
RP11-57C13.3	ENST00000354527
EFHC2	ENST00000420999
RPL13P2	ENST00000440687
C8orf37	ENST00000286688
DOK4	ENST00000566936
RP1-266L20.9	ENST00000586101
SNORD115-43	ENST00000365503
SLC23A2	ENST00000338244
RN7SKP70	ENST00000516655
HSPA5	ENST00000324460
RP11-128P17.4	ENST00000609980
CTD-2049O4.1	ENST00000563052
RNU6-247P	ENST00000362636
VGLL3	ENST00000398399
WFIKKN2	ENST00000311378
TBC1D8	ENST00000409318
RP11-958J22.3	ENST00000525926
AC106053.1	ENST00000431697
STT3A-AS1	ENST00000530526
RNU6-286P	ENST00000384745
RP11-487E1.2	ENST00000431514
RNU4ATAC9P	ENST00000517146
RP11-303E16.3	ENST00000561808
RP11-666A1.4	ENST00000440916
RP11-666A1.4	ENST00000581186
OR10A5	ENST00000379831
RPL3P5	ENST00000441645
XXbac-BPG308K3.5	ENST00000445238
XXbac-BPG308K3.5	ENST00000610258
XXbac-BPG308K3.5	ENST00000609949
XXbac-BPG308K3.5	ENST00000418168
XXbac-BPG308K3.5	ENST00000457253
XXbac-BPG308K3.5	ENST00000600011
XXbac-BPG308K3.5	ENST00000436208
XXbac-BPG308K3.5	ENST00000419878
C15orf59	ENST00000379822
DMD	ENST00000357033
STXBP2	ENST00000441779
RNU6-343P	ENST00000364709
OR52Z1	ENST00000510471
RP11-576N17.3	ENST00000450559
RP11-397J20.1	ENST00000497346
AC074117.10	ENST00000447070
MARCH6	ENST00000274140
LINC01047	ENST00000415193
MIR1286	ENST00000408112
RP11-956E11.1	ENST00000549261
MIR383	ENST00000362257
DPYSL5	ENST00000288699
CTC-548K16.6	ENST00000589702
LINC00382	ENST00000427918
KIF14	ENST00000367350
AC098820.2	ENST00000457694
HNRNPH2	ENST00000316594
HNRNPH2	ENST00000602060
ABHD14B	ENST00000361143
PEX5L	ENST00000467460
USP17L29	ENST00000511681
GNAI2	ENST00000313601
GNAI2	ENST00000574925
KRT18P66	ENST00000452970
AC128677.3	ENST00000436016
RP11-173A8.2	ENST00000555623
RP11-326K13.4	ENST00000580420
ATL3	ENST00000332645
PPP1R3A	ENST00000284601
DCAF5	ENST00000341516
BAGE5	ENST00000602027
RP11-34P13.13	ENST00000484859
GKAP1	ENST00000376371
CLPSL1	ENST00000373861
RP11-338L22.3	ENST00000581995
RP11-591L14.1	ENST00000493002
SNX5	ENST00000377759
RP11-151N17.1	ENST00000558006
AC005757.6	ENST00000591432
VTI1BP1	ENST00000486325
CYP2E1	ENST00000252945
RP11-10N16.2	ENST00000439059
RPL5P13	ENST00000462840
CACNG5	ENST00000169565
AP000692.9	ENST00000397184
CEACAM20	ENST00000454753
R3HDM2P1	ENST00000505381
PIK3R3	ENST00000540385
ARHGAP10	ENST00000336498
RP11-507B12.2	ENST00000559783
IMP3P1	ENST00000427532
AOC1	ENST00000416793
APCS	ENST00000255040
SHF	ENST00000318390
MIR1302-4	ENST00000408701
RP11-81A1.8	ENST00000603605
IGKV2D-30	ENST00000474213
PRAF2	ENST00000376390
ZC3H6	ENST00000343936
TLE1	ENST00000376499
SPANXA1	ENST00000597736
SPANXA1	ENST00000370519
ZFP64P1	ENST00000553836
TMEM183AP1	ENST00000443476
TMEM183AP1	ENST00000430966
TMEM183AP1	ENST00000437487
TMEM183AP1	ENST00000438004
TMEM183AP1	ENST00000430240
TMEM183AP1	ENST00000432739
TMEM183AP1	ENST00000415370
RP4-745K6.1	ENST00000432702
PIWIL4	ENST00000299001
TMEM164	ENST00000372068
ERAS	ENST00000338270
E2F5	ENST00000256117
PRMT7	ENST00000339507
IRF9	ENST00000396864
RNU6-804P	ENST00000384286
ATIC	ENST00000236959
IL21R	ENST00000337929
RP11-382N13.6	ENST00000565115
RP11-522M21.2	ENST00000418402
RP11-263E1.1	ENST00000552332
CTC-512J14.5	ENST00000514280
RP11-382D12.1	ENST00000449525
GREM1	ENST00000300177
AL138751.1	ENST00000361057
MIR548O2	ENST00000583129
RP11-108M9.6	ENST00000606899
CHRNA2	ENST00000407991
RN7SL761P	ENST00000463259
RNA5SP352	ENST00000363408
RANP9	ENST00000519957
KRT18P40	ENST00000599859
KRT18P40	ENST00000573488
AC087499.7	ENST00000411576
MPO	ENST00000340482
SLC7A7	ENST00000285850
RNU6-1330P	ENST00000362775
FTH1P12	ENST00000432137
RP11-321L2.1	ENST00000423440
RP11-30K9.4	ENST00000560378
RP11-524D16__A.3	ENST00000568809
RP11-78H18.2	ENST00000380194
ZNF474	ENST00000296600
CASR	ENST00000498619
AC007040.11	ENST00000606025
AC007040.11	ENST00000607812
NR5A1	ENST00000373588
RNU6-209P	ENST00000384118
VPS9D1-AS1	ENST00000562866
NGB	ENST00000298352
FOPNL	ENST00000573429
LA16c-312E8.2	ENST00000568554
RP11-183G22.1	ENST00000423464
ABCC12	ENST00000311303
SLCO4A1	ENST00000217159
ZNF275	ENST00000440091
ZNF275	ENST00000606135
RP11-296O14.3	ENST00000367716
DCTN2	ENST00000434715
RELL1	ENST00000314117
MTND6P17	ENST00000511811
LINC00622	ENST00000562811
LHX4	ENST00000263726
RP11-108L7.4	ENST00000447344
RN7SL568P	ENST00000493069
TAF9P3	ENST00000585464
RNU6-605P	ENST00000363093
PRKRIP1	ENST00000564985
PRKRIP1	ENST00000397912
TAS2R9	ENST00000576440
TAS2R9	ENST00000573524
TAS2R9	ENST00000240691
NPIPA3	ENST00000531598
SLC25A5P6	ENST00000515328
CTB-60B18.18	ENST00000599209
AC093388.3	ENST00000457407
RAB38	ENST00000243662
GLULP3	ENST00000526011
RP3-416J7.5	ENST00000381078
KIAA1549	ENST00000422774
UBE2Q2P9	ENST00000490086
RNU6-153P	ENST00000364422
MNX1-AS1	ENST00000480284
HOXB6	ENST00000225648
RP11-187E13.1	ENST00000553330
ZNF324	ENST00000196482
NOS2	ENST00000313735
RP11-336K24.5	ENST00000415726
RP11-529K1.2	ENST00000562077
MIR1285-2	ENST00000408311
PRNP	ENST00000379440
IMPG1	ENST00000369950
ACE2	ENST00000252519
HOXA5	ENST00000222726
EIF4EBP2P2	ENST00000563883
RP11-759A9.2	ENST00000523425
RP11-192H23.8	ENST00000582858
GRXCR2	ENST00000377976
RP11-389J22.1	ENST00000581987
RP11-470L19.5	ENST00000481350
ARHGAP42P5	ENST00000548856
RP11-144L1.4	ENST00000419738
RP5-862K6.4	ENST00000443304
NMRAL1	ENST00000283429
RP11-3P17.4	ENST00000473595
ZP2	ENST00000219593
RNA5SP193	ENST00000410353
RP11-871F6.3	ENST00000540399
RP1-136J15.1	ENST00000448300
GNAO1	ENST00000262493
LA16c-425C2.1	ENST00000568149
NXT2	ENST00000218004
RP11-395F4.1	ENST00000505575
FAT3	ENST00000298047
TMEM185AP1	ENST00000524311
TMEM185AP1	ENST00000597324
RP11-110I1.11	ENST00000531087
RP11-110I1.11	ENST00000570943
SHC1	ENST00000448116
ACAA1	ENST00000333167
BMS1P20	ENST00000426066
RP11-21B23.3	ENST00000567899
MTND2P33	ENST00000506452
IL36RN	ENST00000346807
RP5-1159O4.1	ENST00000609497
CTD-2377D24.6	ENST00000478824
RN7SL246P	ENST00000584467
LRRC57	ENST00000323443
FAM90A25P	ENST00000528404
ACVR2A	ENST00000241416
RP11-403N16.3	ENST00000565707
CTA-363E6.6	ENST00000561762
DKKL1P1	ENST00000400550
PTP4A1P3	ENST00000433661
FAM138B	ENST00000432583
RP5-837O21.8	ENST00000513571
PHTF1	ENST00000369604
RN7SL690P	ENST00000582087
CTC-454I21.4	ENST00000587645
RNU6-60P	ENST00000364792
DPY19L2P2	ENST00000312132
RP11-6O2.3	ENST00000564527
RP11-6O2.3	ENST00000599656
NOTCH3	ENST00000263388
ETF1P3	ENST00000430422
RP11-184A2.3	ENST00000421629
MNDA	ENST00000368141
ERAP1	ENST00000296754
SEPHS1P6	ENST00000443084
RP11-111F5.8	ENST00000428709
RP11-321E8.4	ENST00000442436
PPP4R1L	ENST00000334187
SEPT6	ENST00000394617
HMGN1P4	ENST00000419500
RP11-66N24.3	ENST00000555968
SMARCE1	ENST00000348513
RP11-467L19.8	ENST00000554836
CTD-2272D18.2	ENST00000518550
MTND1P11	ENST00000456661
RP4-706A16.3	ENST00000535687
SIRPB2	ENST00000359801
PSORS1C1	ENST00000420214
PSORS1C1	ENST00000433334
PSORS1C1	ENST00000549149
PSORS1C1	ENST00000448455
PSORS1C1	ENST00000441092
PSORS1C1	ENST00000259881
AC092669.3	ENST00000428647
ZNF343	ENST00000278772
RP11-502N13.2	ENST00000544122
YPEL1	ENST00000339468
U1	ENST00000583575
U1	ENST00000580475
U1	ENST00000582199
U1	ENST00000415386
U1	ENST00000577618
U1	ENST00000581325
U1	ENST00000581688
U1	ENST00000584937
U1	ENST00000438002
U1	ENST00000580213
U1	ENST00000578081
U1	ENST00000572849
U1	ENST00000579513
U1	ENST00000579987
U1	ENST00000459549
U1	ENST00000606574
U1	ENST00000582426
U1	ENST00000578102
U1	ENST00000577825
U1	ENST00000583936
U1	ENST00000580281
U1	ENST00000578508
U1	ENST00000584018
U1	ENST00000606575
RP11-665C16.8	ENST00000605294
RPP40P1	ENST00000426762
WDR91	ENST00000354475
RP11-247A12.1	ENST00000434250
AC190387.1	ENST00000459300
SCARF2	ENST00000266214
C3orf49	ENST00000295896
NAB1	ENST00000337386
SLC16A12	ENST00000371790
MDGA1	ENST00000505425
RP5-828H9.1	ENST00000430097
RP11-440D17.1	ENST00000603193
ARHGAP19-SLIT1	ENST00000453547
PABPC1P11	ENST00000428966
MIR300	ENST00000401138
PRPH	ENST00000257860
RP11-66C24.1	ENST00000448065
RP11-362A1.2	ENST00000546484
RNA5SP253	ENST00000516220
RP11-609L3.1	ENST00000603727
RP11-831H9.3	ENST00000532626
RP11-227H15.7	ENST00000435088
RP11-84G21.1	ENST00000552885
RP11-770J1.5	ENST00000601832
RP11-770J1.5	ENST00000534438
SYN3	ENST00000332840
RP11-436P7.2	ENST00000534017
RP11-981G7.3	ENST00000520494
AF131216.6	ENST00000498997
RP11-126O22.1	ENST00000416620
RNF6P1	ENST00000444889
NCOA4	ENST00000578454
NCOA4	ENST00000452682
C12orf71	ENST00000429849
SELE	ENST00000333360
HMGB3P11	ENST00000440127
LINC00881	ENST00000471719
MUC6	ENST00000421673
AC133633.2	ENST00000565197
AC133633.2	ENST00000522799
SSTR3	ENST00000328544
RP11-564A8.4	ENST00000446057
ECE1	ENST00000374893
BRD7P5	ENST00000299197
SNORA15	ENST00000608918
SNORA15	ENST00000384058
SNORA15	ENST00000384334
SNORA15	ENST00000384439
SNORA15	ENST00000516131
SNORA15	ENST00000599341
AC073069.2	ENST00000428657
MYO18A	ENST00000354329
TXLNA	ENST00000373609
RP11-18O15.1	ENST00000547375
RNU6-367P	ENST00000517171
NDUFB11	ENST00000605840
NDUFB11	ENST00000276062
SELV	ENST00000335426
RP11-490D19.11	ENST00000605340
RP11-160H22.5	ENST00000426899
CTD-2313F11.1	ENST00000609699
RP11-306K13.1	ENST00000424448
NKRF	ENST00000542113
RNU6-1338P	ENST00000516328
ZFAND2A	ENST00000397083
LINC00959	ENST00000456581
UTRN	ENST00000367545
RP11-585F1.8	ENST00000520478
MIR135A1	ENST00000385191
TSPYL6	ENST00000317802
TTC12	ENST00000314756
TTC12	ENST00000572987
C15orf54	ENST00000318578
NRXN3	ENST00000554738
RP11-864G5.8	ENST00000604811
AC007322.1	ENST00000414540
CTB-25B13.12	ENST00000591252
PIGS	ENST00000308360
RP4-816N1.7	ENST00000547042
KLF7P1	ENST00000490941
RP11-208P4.1	ENST00000483240
MAP3K7	ENST00000369329
GAMT	ENST00000447102
PPIG	ENST00000260970
CTD-2023M8.1	ENST00000512978
RP11-414H23.3	ENST00000510153
RP1-5O6.5	ENST00000420172
EEF1A1P4	ENST00000359165
DNPEP	ENST00000523282
RP11-566K19.6	ENST00000557922
IGHVIII-38-1	ENST00000521454
IGHVIII-38-1	ENST00000605451
NOXRED1	ENST00000380835
RP11-254F19.3	ENST00000569104
AC114973.1	ENST00000429057
RP11-475B2.1	ENST00000561655
DRD3	ENST00000383673
MPZL3	ENST00000278949
RP11-247C2.2	ENST00000514871
RNF125	ENST00000217740
GPN3	ENST00000543199
AP000350.10	ENST00000433835
RP1-46F2.3	ENST00000546852
RP11-442O18.2	ENST00000446589
RP11-599B13.7	ENST00000581248
RP11-16L14.2	ENST00000565366
UGT2A2	ENST00000457664
RP5-1024G6.2	ENST00000452466
CTDSP1	ENST00000273062
DUXAP7	ENST00000431038
CMC4	ENST00000598989
CMC4	ENST00000369479
FAM120C	ENST00000594687
FAM120C	ENST00000375180
SLC19A3	ENST00000258403
SLC1A3	ENST00000265113
INTU	ENST00000335251
U91319.1	ENST00000571619
TMA16P2	ENST00000413187
GNAI3	ENST00000369851
HNRNPA3P7	ENST00000521638
RP1-130H16.18	ENST00000434291
LGALS14	ENST00000360675
CHORDC2P	ENST00000557601
ACTG1P9	ENST00000457622
SPON2	ENST00000290902
AC007040.6	ENST00000601923
AC007040.6	ENST00000606324
NTM	ENST00000425719
SRR	ENST00000344595
CTC-518B2.10	ENST00000601280
ATXN3	ENST00000545170
RP11-210G22.1	ENST00000608793
TMC4	ENST00000609240
TMC4	ENST00000608640
TMC4	ENST00000609778
TMC4	ENST00000609646
TMC4	ENST00000574359
TMC4	ENST00000608464
TMC4	ENST00000376591
LONRF1	ENST00000398246
RP1-199J3.5	ENST00000407121
DLGAP1-AS4	ENST00000582054
MMAB	ENST00000545712
PRR23B	ENST00000329447
RP11-383I23.2	ENST00000608028
CTB-89H12.4	ENST00000499521
RN7SL838P	ENST00000481676
RP11-535M15.1	ENST00000423924
RPRM	ENST00000325926
RP11-136K7.1	ENST00000574392
RP11-136K7.1	ENST00000510180
RNU6-1004P	ENST00000516584
RNU6-1004P	ENST00000607546
RP11-818C3.1	ENST00000508799
RP11-312J18.7	ENST00000450131
NPIPB7	ENST00000452313
MIR5704	ENST00000584029
EFCAB14P1	ENST00000442409
TRIP13	ENST00000166345
INSR	ENST00000302850
PHOSPHO2	ENST00000359744
RN7SL697P	ENST00000584507
RN7SL697P	ENST00000582484
AC009121.1	ENST00000458885
ZNF688	ENST00000223459
CCP110	ENST00000381396
LEPR	ENST00000349533
AC004878.8	ENST00000448088
AC004878.8	ENST00000576046
CTD-2528L19.3	ENST00000589357
KIR2DP1	ENST00000415311
KIR2DP1	ENST00000571203
KIR2DP1	ENST00000604676
KIR2DP1	ENST00000571502
KIR2DP1	ENST00000575050
NRIP2	ENST00000337508
SUB1P1	ENST00000424509
RP11-301G7.1	ENST00000606398
RP11-696N14.1	ENST00000500358
RN7SL271P	ENST00000487601
ATP6V0D1	ENST00000540149
SUN1	ENST00000456758
CTD-2197I11.1	ENST00000510935
ZNF736P4Y	ENST00000454995
